12:58:50.271 AM Ruch piłki numer 3: Pozycja: x=368,74198, y=83,6036, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.271 AM Ruch piłki numer 6: Pozycja: x=10,26743, y=404,39199, Przemieszczenie: x=3,16827, y=1,32677
12:58:50.271 AM Ruch piłki numer 7: Pozycja: x=76,94094, y=418,53371, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.271 AM Ruch piłki numer 9: Pozycja: x=198,17068, y=372,58851, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.271 AM Ruch piłki numer 12: Pozycja: x=491,1189, y=383,21105, Przemieszczenie: x=-3,90001, y=-3,97302
12:58:50.271 AM Ruch piłki numer 11: Pozycja: x=57,81867, y=257,35678, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.271 AM Ruch piłki numer 10: Pozycja: x=472,8039, y=62,00459, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.271 AM Ruch piłki numer 13: Pozycja: x=382,1986, y=479,57541, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.271 AM Ruch piłki numer 14: Pozycja: x=80,69806, y=26,72039, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.271 AM Ruch piłki numer 15: Pozycja: x=263,44043, y=391,06863, Przemieszczenie: x=-0,60298, y=2,07613
1:00:03.932 AM Ruch piłki numer 3: Pozycja: x=364,75427, y=81,31941, Przemieszczenie: x=-3,98772, y=-2,28419
1:00:03.932 AM Ruch piłki numer 1: Pozycja: x=338,93215, y=455,67704, Przemieszczenie: x=-2,79944, y=-0,42738
1:00:03.932 AM Ruch piłki numer 2: Pozycja: x=7,53001, y=189,76001, Przemieszczenie: x=3,76439, y=-2,71983
1:00:03.932 AM Ruch piłki numer 6: Pozycja: x=13,4357, y=405,71876, Przemieszczenie: x=3,16827, y=1,32677
1:00:03.932 AM Ruch piłki numer 7: Pozycja: x=74,5815, y=417,6218, Przemieszczenie: x=-2,35944, y=-0,91191
1:00:03.932 AM Ruch piłki numer 11: Pozycja: x=56,88514, y=258,49298, Przemieszczenie: x=-0,93354, y=1,1362
1:00:03.932 AM Ruch piłki numer 10: Pozycja: x=469,06222, y=58,40346, Przemieszczenie: x=-3,74168, y=-3,60113
1:00:03.932 AM Ruch piłki numer 14: Pozycja: x=82,1180
